"X","Date","Temperature","Prec"
0,"2000-01",277.98682,167.77209
1,"2000-02",277.8711,56.80247
2,"2000-03",279.51724,60.141236
3,"2000-04",286.58664,30.772477
4,"2000-05",285.2741,93.63571
5,"2000-06",287.68362,63.067106
6,"2000-07",289.91333,11.3318065
7,"2000-08",289.9497,45.522836
8,"2000-09",287.54666,181.59537
9,"2000-10",285.87695,79.36876
10,"2000-11",279.86032,0.23627253
11,"2000-12",275.93893,300.19853
12,"2001-01",276.53162,162.10253
13,"2001-02",272.2591,105.05264
14,"2001-03",279.82678,177.06132
15,"2001-04",284.74023,8.334458
16,"2001-05",287.17563,18.237493
17,"2001-06",290.5709,30.838495
18,"2001-07",292.8899,4.8052825
19,"2001-08",289.77124,66.97392
20,"2001-09",286.1514,156.27372
21,"2001-10",286.18024,11.703299
22,"2001-11",277.37097,107.67251
23,"2001-12",274.677,71.165174
24,"2002-01",279.56384,60.145572
25,"2002-02",279.95334,74.9836
26,"2002-03",278.5841,6.7136284
27,"2002-04",283.72763,46.602276
28,"2002-05",286.43903,5.5621713
29,"2002-06",287.88135,22.165796
30,"2002-07",293.02148,41.069787
31,"2002-08",291.07077,28.701095
32,"2002-09",283.67468,83.440376
33,"2002-10",281.3766,17.518863
34,"2002-11",280.6923,221.49747
35,"2002-12",277.21057,118.804826
36,"2003-01",273.30994,214.03222
37,"2003-02",274.1031,31.074855
38,"2003-03",281.16293,56.75276
39,"2003-04",285.39777,5.867248
40,"2003-05",288.30838,3.4585757
41,"2003-06",291.36755,91.674614
42,"2003-07",292.70575,31.055817
43,"2003-08",290.87335,87.61326
44,"2003-09",286.66183,186.43198
45,"2003-10",281.1061,157.7336
46,"2003-11",280.46582,94.64043
47,"2003-12",277.25662,222.34472
48,"2004-01",272.29425,41.9393
49,"2004-02",274.63113,175.43719
50,"2004-03",279.29922,29.786843
51,"2004-04",284.21085,70.75381
52,"2004-05",285.49722,1.9879587
53,"2004-06",288.76355,22.713468
54,"2004-07",290.78506,17.953633
55,"2004-08",289.99884,56.22486
56,"2004-09",286.09064,80.22228
57,"2004-10",286.53903,154.14601
58,"2004-11",279.8181,124.5842
59,"2004-12",276.87427,151.33231
60,"2005-01",271.8344,98.99813
